Pos.,No.,Driver,Team,Laps,Time / Retired,Pts.,Year,Country,Race Date,Race Link
11,5,Sebastian VettelVET,Aston Martin Mercedes,58.0,+67.527s,0.0,2021,Flag of United Arab EmiratesAbu Dhabi,12 Dec,https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result
12,3,Daniel RicciardoRIC,McLaren Mercedes,57.0,+1 lap,0.0,2021,Flag of United Arab EmiratesAbu Dhabi,12 Dec,https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result
13,18,Lance StrollSTR,Aston Martin Mercedes,57.0,+1 lap,0.0,2021,Flag of United Arab EmiratesAbu Dhabi,12 Dec,https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result
14,47,Mick SchumacherMSC,Haas Ferrari,57.0,+1 lap,0.0,2021,Flag of United Arab EmiratesAbu Dhabi,12 Dec,https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result
15,11,Sergio PerezPER,Red Bull Racing Honda,55.0,DNF,0.0,2021,Flag of United Arab EmiratesAbu Dhabi,12 Dec,https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result
NC,6,Nicholas LatifiLAT,Williams Mercedes,50.0,DNF,0.0,2021,Flag of United Arab EmiratesAbu Dhabi,12 Dec,https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result
NC,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,33.0,DNF,0.0,2021,Flag of United Arab EmiratesAbu Dhabi,12 Dec,https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result
NC,63,George RussellRUS,Williams Mercedes,26.0,DNF,0.0,2021,Flag of United Arab EmiratesAbu Dhabi,12 Dec,https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result
NC,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,25.0,DNF,0.0,2021,Flag of United Arab EmiratesAbu Dhabi,12 Dec,https://www.formula1.com/en/results/2021/races/1107/abu-dhabi/race-result
1,16,Charles LeclercLEC,Ferrari,57.0,1:37:33.584,26.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
2,55,Carlos SainzSAI,Ferrari,57.0,+5.598s,18.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
3,44,Lewis HamiltonHAM,Mercedes,57.0,+9.675s,15.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
4,63,George RussellRUS,Mercedes,57.0,+11.211s,12.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
5,20,Kevin MagnussenMAG,Haas Ferrari,57.0,+14.754s,10.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
6,77,Valtteri BottasBOT,Alfa Romeo Ferrari,57.0,+16.119s,8.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
7,31,Esteban OconOCO,Alpine Renault,57.0,+19.423s,6.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
8,22,Yuki TsunodaTSU,AlphaTauri RBPT,57.0,+20.386s,4.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
9,14,Fernando AlonsoALO,Alpine Renault,57.0,+22.390s,2.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
10,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,57.0,+23.064s,1.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
11,47,Mick SchumacherMSC,Haas Ferrari,57.0,+32.574s,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,57.0,+45.873s,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
13,23,Alexander AlbonALB,Williams Mercedes,57.0,+53.932s,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
14,3,Daniel RicciardoRIC,McLaren Mercedes,57.0,+54.975s,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
15,4,Lando NorrisNOR,McLaren Mercedes,57.0,+56.335s,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
16,6,Nicholas LatifiLAT,Williams Mercedes,57.0,+61.795s,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
17,27,Nico HulkenbergHUL,Aston Martin Aramco Mercedes,57.0,+63.829s,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
18,11,Sergio PerezPER,Red Bull Racing RBPT,56.0,DNF,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
19,1,Max VerstappenVER,Red Bull Racing RBPT,54.0,DNF,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
NC,10,Pierre GaslyGAS,AlphaTauri RBPT,44.0,DNF,0.0,2022,Flag of BahrainBahrain,20 Mar,https://www.formula1.com/en/results/2022/races/1124/bahrain/race-result
1,1,Max VerstappenVER,Red Bull Racing RBPT,50.0,1:24:19.293,25.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
2,16,Charles LeclercLEC,Ferrari,50.0,+0.549s,19.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
3,55,Carlos SainzSAI,Ferrari,50.0,+8.097s,15.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
4,11,Sergio PerezPER,Red Bull Racing RBPT,50.0,+10.800s,12.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
5,63,George RussellRUS,Mercedes,50.0,+32.732s,10.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
6,31,Esteban OconOCO,Alpine Renault,50.0,+56.017s,8.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
7,4,Lando NorrisNOR,McLaren Mercedes,50.0,+56.124s,6.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
8,10,Pierre GaslyGAS,AlphaTauri RBPT,50.0,+62.946s,4.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
9,20,Kevin MagnussenMAG,Haas Ferrari,50.0,+64.308s,2.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
10,44,Lewis HamiltonHAM,Mercedes,50.0,+73.948s,1.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
11,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,50.0,+82.215s,0.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
12,27,Nico HulkenbergHUL,Aston Martin Aramco Mercedes,50.0,+91.742s,0.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,49.0,+1 lap,0.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
14,23,Alexander AlbonALB,Williams Mercedes,47.0,DNF,0.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
NC,77,Valtteri BottasBOT,Alfa Romeo Ferrari,36.0,DNF,0.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
NC,14,Fernando AlonsoALO,Alpine Renault,35.0,DNF,0.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
NC,3,Daniel RicciardoRIC,McLaren Mercedes,35.0,DNF,0.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
NC,6,Nicholas LatifiLAT,Williams Mercedes,14.0,DNF,0.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
NC,22,Yuki TsunodaTSU,AlphaTauri RBPT,0.0,DNS,0.0,2022,Flag of Saudi ArabiaSaudi Arabia,27 Mar,https://www.formula1.com/en/results/2022/races/1125/saudi-arabia/race-result
1,16,Charles LeclercLEC,Ferrari,58.0,1:27:46.548,26.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
2,11,Sergio PerezPER,Red Bull Racing RBPT,58.0,+20.524s,18.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
3,63,George RussellRUS,Mercedes,58.0,+25.593s,15.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
4,44,Lewis HamiltonHAM,Mercedes,58.0,+28.543s,12.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
5,4,Lando NorrisNOR,McLaren Mercedes,58.0,+53.303s,10.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
6,3,Daniel RicciardoRIC,McLaren Mercedes,58.0,+53.737s,8.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
7,31,Esteban OconOCO,Alpine Renault,58.0,+61.683s,6.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
8,77,Valtteri BottasBOT,Alfa Romeo Ferrari,58.0,+68.439s,4.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
9,10,Pierre GaslyGAS,AlphaTauri RBPT,58.0,+76.221s,2.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
10,23,Alexander AlbonALB,Williams Mercedes,58.0,+79.382s,1.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
11,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,58.0,+81.695s,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,58.0,+88.598s,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
13,47,Mick SchumacherMSC,Haas Ferrari,57.0,+1 lap,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
14,20,Kevin MagnussenMAG,Haas Ferrari,57.0,+1 lap,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
15,22,Yuki TsunodaTSU,AlphaTauri RBPT,57.0,+1 lap,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
16,6,Nicholas LatifiLAT,Williams Mercedes,57.0,+1 lap,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
17,14,Fernando AlonsoALO,Alpine Renault,57.0,+1 lap,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
NC,1,Max VerstappenVER,Red Bull Racing RBPT,38.0,DNF,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
NC,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,22.0,DNF,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
NC,55,Carlos SainzSAI,Ferrari,1.0,DNF,0.0,2022,Flag of AustraliaAustralia,10 Apr,https://www.formula1.com/en/results/2022/races/1108/australia/race-result
1,1,Max VerstappenVER,Red Bull Racing RBPT,63.0,1:32:07.986,26.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
2,11,Sergio PerezPER,Red Bull Racing RBPT,63.0,+16.527s,18.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
3,4,Lando NorrisNOR,McLaren Mercedes,63.0,+34.834s,15.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
4,63,George RussellRUS,Mercedes,63.0,+42.506s,12.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
5,77,Valtteri BottasBOT,Alfa Romeo Ferrari,63.0,+43.181s,10.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
6,16,Charles LeclercLEC,Ferrari,63.0,+56.072s,8.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
7,22,Yuki TsunodaTSU,AlphaTauri RBPT,63.0,+61.110s,6.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
8,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,63.0,+70.892s,4.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
9,20,Kevin MagnussenMAG,Haas Ferrari,63.0,+75.260s,2.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,62.0,+1 lap,1.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
11,23,Alexander AlbonALB,Williams Mercedes,62.0,+1 lap,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
12,10,Pierre GaslyGAS,AlphaTauri RBPT,62.0,+1 lap,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
13,44,Lewis HamiltonHAM,Mercedes,62.0,+1 lap,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
14,31,Esteban OconOCO,Alpine Renault,62.0,+1 lap,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,62.0,+1 lap,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
16,6,Nicholas LatifiLAT,Williams Mercedes,62.0,+1 lap,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
17,47,Mick SchumacherMSC,Haas Ferrari,62.0,+1 lap,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
18,3,Daniel RicciardoRIC,McLaren Mercedes,62.0,+1 lap,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
NC,14,Fernando AlonsoALO,Alpine Renault,6.0,DNF,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
NC,55,Carlos SainzSAI,Ferrari,0.0,DNF,0.0,2022,Flag of ItalyEmilia-Romagna,24 Apr,https://www.formula1.com/en/results/2022/races/1109/emilia-romagna/race-result
1,1,Max VerstappenVER,Red Bull Racing RBPT,57.0,1:34:24.258,26.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
2,16,Charles LeclercLEC,Ferrari,57.0,+3.786s,18.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
3,55,Carlos SainzSAI,Ferrari,57.0,+8.229s,15.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
4,11,Sergio PerezPER,Red Bull Racing RBPT,57.0,+10.638s,12.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
5,63,George RussellRUS,Mercedes,57.0,+18.582s,10.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
6,44,Lewis HamiltonHAM,Mercedes,57.0,+21.368s,8.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
7,77,Valtteri BottasBOT,Alfa Romeo Ferrari,57.0,+25.073s,6.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
8,31,Esteban OconOCO,Alpine Renault,57.0,+28.386s,4.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
9,23,Alexander AlbonALB,Williams Mercedes,57.0,+32.365s,2.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,57.0,+37.026s,1.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
11,14,Fernando AlonsoALO,Alpine Renault,57.0,+37.128s,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
12,22,Yuki TsunodaTSU,AlphaTauri RBPT,57.0,+40.146s,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
13,3,Daniel RicciardoRIC,McLaren Mercedes,57.0,+40.902s,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
14,6,Nicholas LatifiLAT,Williams Mercedes,57.0,+49.936s,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
15,47,Mick SchumacherMSC,Haas Ferrari,57.0,+73.305s,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
16,20,Kevin MagnussenMAG,Haas Ferrari,56.0,DNF,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
17,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,54.0,DNF,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
NC,10,Pierre GaslyGAS,AlphaTauri RBPT,45.0,DNF,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
NC,4,Lando NorrisNOR,McLaren Mercedes,39.0,DNF,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
NC,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,6.0,DNF,0.0,2022,Flag of United States of AmericaMiami,08 May,https://www.formula1.com/en/results/2022/races/1110/miami/race-result
1,1,Max VerstappenVER,Red Bull Racing RBPT,66.0,1:37:20.475,25.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
2,11,Sergio PerezPER,Red Bull Racing RBPT,66.0,+13.072s,19.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
3,63,George RussellRUS,Mercedes,66.0,+32.927s,15.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
4,55,Carlos SainzSAI,Ferrari,66.0,+45.208s,12.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
5,44,Lewis HamiltonHAM,Mercedes,66.0,+54.534s,10.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
6,77,Valtteri BottasBOT,Alfa Romeo Ferrari,66.0,+59.976s,8.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
7,31,Esteban OconOCO,Alpine Renault,66.0,+75.397s,6.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
8,4,Lando NorrisNOR,McLaren Mercedes,66.0,+83.235s,4.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
9,14,Fernando AlonsoALO,Alpine Renault,65.0,+1 lap,2.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
10,22,Yuki TsunodaTSU,AlphaTauri RBPT,65.0,+1 lap,1.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
11,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,65.0,+1 lap,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
12,3,Daniel RicciardoRIC,McLaren Mercedes,65.0,+1 lap,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
13,10,Pierre GaslyGAS,AlphaTauri RBPT,65.0,+1 lap,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
14,47,Mick SchumacherMSC,Haas Ferrari,65.0,+1 lap,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,65.0,+1 lap,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
16,6,Nicholas LatifiLAT,Williams Mercedes,64.0,+2 laps,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
17,20,Kevin MagnussenMAG,Haas Ferrari,64.0,+2 laps,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
18,23,Alexander AlbonALB,Williams Mercedes,64.0,+2 laps,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
NC,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,28.0,DNF,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
NC,16,Charles LeclercLEC,Ferrari,27.0,DNF,0.0,2022,Flag of SpainSpain,22 May,https://www.formula1.com/en/results/2022/races/1111/spain/race-result
1,11,Sergio PerezPER,Red Bull Racing RBPT,64.0,1:56:30.265,25.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
2,55,Carlos SainzSAI,Ferrari,64.0,+1.154s,18.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
3,1,Max VerstappenVER,Red Bull Racing RBPT,64.0,+1.491s,15.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
4,16,Charles LeclercLEC,Ferrari,64.0,+2.922s,12.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
5,63,George RussellRUS,Mercedes,64.0,+11.968s,10.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
6,4,Lando NorrisNOR,McLaren Mercedes,64.0,+12.231s,9.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
7,14,Fernando AlonsoALO,Alpine Renault,64.0,+46.358s,6.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
8,44,Lewis HamiltonHAM,Mercedes,64.0,+50.388s,4.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
9,77,Valtteri BottasBOT,Alfa Romeo Ferrari,64.0,+52.525s,2.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
10,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,64.0,+53.536s,1.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
11,10,Pierre GaslyGAS,AlphaTauri RBPT,64.0,+54.289s,0.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
12,31,Esteban OconOCO,Alpine Renault,64.0,+55.644s,0.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
13,3,Daniel RicciardoRIC,McLaren Mercedes,64.0,+57.635s,0.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,64.0,+60.802s,0.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
15,6,Nicholas LatifiLAT,Williams Mercedes,63.0,+1 lap,0.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
16,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,63.0,+1 lap,0.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
17,22,Yuki TsunodaTSU,AlphaTauri RBPT,63.0,+1 lap,0.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
NC,23,Alexander AlbonALB,Williams Mercedes,48.0,DNF,0.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
NC,47,Mick SchumacherMSC,Haas Ferrari,24.0,DNF,0.0,2022,Flag of MonacoMonaco,29 May,https://www.formula1.com/en/results/2022/races/1112/monaco/race-result
